countryregion,date,days,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change
Afghanistan,24feb2020,1,1,,,,,
Afghanistan,25feb2020,2,1,0,,,,
Afghanistan,26feb2020,3,1,0,,,,
Afghanistan,27feb2020,4,1,0,,,,
Afghanistan,28feb2020,5,1,0,,,,
Afghanistan,29feb2020,6,1,0,,,,
Afghanistan,01mar2020,7,1,0,,,,
Afghanistan,02mar2020,8,1,0,,,,
Afghanistan,03mar2020,9,1,0,,,,
Afghanistan,04mar2020,10,1,0,,,,
Afghanistan,05mar2020,11,1,0,,,,
Afghanistan,06mar2020,12,1,0,,,,
Afghanistan,07mar2020,13,1,0,,,,
Afghanistan,08mar2020,14,4,3,,,,
Afghanistan,09mar2020,15,4,0,,,,
Afghanistan,10mar2020,16,5,1,,,,
Afghanistan,11mar2020,17,7,2,,,,
Afghanistan,12mar2020,18,7,0,,,,
Afghanistan,13mar2020,19,7,0,,,,
Afghanistan,14mar2020,20,11,4,,,,
Afghanistan,15mar2020,21,16,5,,,,
Afghanistan,16mar2020,22,21,5,,,1,
Afghanistan,17mar2020,23,22,1,,,1,0
Afghanistan,18mar2020,24,22,0,,,1,0
Afghanistan,19mar2020,25,22,0,,,1,0
Afghanistan,20mar2020,26,24,2,,,1,0
Afghanistan,21mar2020,27,24,0,,,1,0
Afghanistan,22mar2020,28,40,16,1,,1,0
Afghanistan,23mar2020,29,40,0,1,0,1,0
Afghanistan,24mar2020,30,74,34,1,0,1,0
Afghanistan,25mar2020,31,84,10,2,1,2,1
Afghanistan,26mar2020,32,94,10,4,2,2,0
Afghanistan,27mar2020,33,110,16,4,0,2,0
Afghanistan,28mar2020,34,110,0,4,0,2,0
Afghanistan,29mar2020,35,120,10,4,0,2,0
Afghanistan,30mar2020,36,170,50,4,0,2,0
Afghanistan,31mar2020,37,174,4,4,0,5,3
Afghanistan,01apr2020,38,237,63,4,0,5,0
Afghanistan,02apr2020,39,273,36,6,2,10,5
Afghanistan,03apr2020,40,281,8,6,0,10,0
Afghanistan,04apr2020,41,299,18,7,1,10,0
Afghanistan,05apr2020,42,349,50,7,0,15,5
Afghanistan,06apr2020,43,367,18,11,4,18,3
Afghanistan,07apr2020,44,423,56,14,3,18,0
Afghanistan,08apr2020,45,444,21,14,0,29,11
Afghanistan,09apr2020,46,484,40,15,1,32,3
Afghanistan,10apr2020,47,521,37,15,0,32,0
Afghanistan,11apr2020,48,555,34,18,3,32,0
Afghanistan,12apr2020,49,607,52,18,0,32,0
Afghanistan,13apr2020,50,665,58,21,3,32,0
Albania,09mar2020,1,2,,,,,
Albania,10mar2020,2,10,8,,,,
Albania,11mar2020,3,12,2,1,,,
Albania,12mar2020,4,23,11,1,0,,
Albania,13mar2020,5,33,10,1,0,,
Albania,14mar2020,6,38,5,1,0,,
Albania,15mar2020,7,42,4,1,0,,
Albania,16mar2020,8,51,9,1,0,,
Albania,17mar2020,9,55,4,1,0,,
Albania,18mar2020,10,59,4,2,1,,
Albania,19mar2020,11,64,5,2,0,,
Albania,20mar2020,12,70,6,2,0,,
Albania,21mar2020,13,76,6,2,0,2,
Albania,22mar2020,14,89,13,2,0,2,0
